File Name Group ChIP Mate
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__Polymerase_II/Exp1_0_h__Polymerase_II_TGATAC_L003_R1_001.fastq.gz Exp1_0h_PolII PolII_0h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__Polymerase_II/Exp1_0_h__Polymerase_II_TGATAC_L002_R1_001.fastq.gz Exp1_0h_PolII PolII_0h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__Input_DNA/Exp1_0_h__Input_DNA_TTCCAT_L003_R1_001.fastq.gz Exp1_0h_PolII_Input PolII_0h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__Input_DNA/Exp1_0_h__Input_DNA_TTCCAT_L004_R1_001.fastq.gz Exp1_0h_PolII_Input PolII_0h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__Input_DNA/Exp1_0_h__Input_DNA_TTCCAT_L002_R1_002.fastq.gz Exp1_0h_PolII_Input PolII_0h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__Input_DNA/Exp1_0_h__Input_DNA_TTCCAT_L002_R1_001.fastq.gz Exp1_0h_PolII_Input PolII_0h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__Input_DNA/Exp1_0_h__Input_DNA_TTCCAT_L004_R1_002.fastq.gz Exp1_0h_PolII_Input PolII_0h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__Input_DNA/Exp1_0_h__Input_DNA_TTCCAT_L003_R1_002.fastq.gz Exp1_0h_PolII_Input PolII_0h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__Input_DNA/Exp1_0_h__Input_DNA_TTCCAT_L001_R1_001.fastq.gz Exp1_0h_PolII_Input PolII_0h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__Input_DNA/Exp1_0_h__Input_DNA_TTCCAT_L001_R1_002.fastq.gz Exp1_0h_PolII_Input PolII_0h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_H3K27me3/Exp1_12_h_H3K27me3_TCCGTC_L004_R1_002.fastq.gz Exp1_12h_H3K27me3 H3K27me3_12h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_H3K27me3/Exp1_12_h_H3K27me3_TCCGTC_L004_R1_001.fastq.gz Exp1_12h_H3K27me3 H3K27me3_12h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_H3K27me3/Exp1_12_h_H3K27me3_TCCGTC_L002_R1_001.fastq.gz Exp1_12h_H3K27me3 H3K27me3_12h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_H3K27me3/Exp1_12_h_H3K27me3_TCCGTC_L002_R1_002.fastq.gz Exp1_12h_H3K27me3 H3K27me3_12h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_H3K27me3/Exp1_12_h_H3K27me3_TCCGTC_L003_R1_001.fastq.gz Exp1_12h_H3K27me3 H3K27me3_12h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_H3K27me3/Exp1_12_h_H3K27me3_TCCGTC_L001_R1_002.fastq.gz Exp1_12h_H3K27me3 H3K27me3_12h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_H3K27me3/Exp1_12_h_H3K27me3_TCCGTC_L003_R1_002.fastq.gz Exp1_12h_H3K27me3 H3K27me3_12h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_H3K27me3/Exp1_12_h_H3K27me3_TCCGTC_L001_R1_001.fastq.gz Exp1_12h_H3K27me3 H3K27me3_12h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_Input_DNA/Exp1_12_h_Input_DNA_TGAACT_L001_R1_001.fastq.gz Exp1_12h_H3K27me3_Input H3K27me3_12h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_Input_DNA/Exp1_12_h_Input_DNA_TGAACT_L004_R1_001.fastq.gz Exp1_12h_H3K27me3_Input H3K27me3_12h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_Input_DNA/Exp1_12_h_Input_DNA_TGAACT_L002_R1_002.fastq.gz Exp1_12h_H3K27me3_Input H3K27me3_12h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_Input_DNA/Exp1_12_h_Input_DNA_TGAACT_L003_R1_001.fastq.gz Exp1_12h_H3K27me3_Input H3K27me3_12h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_Input_DNA/Exp1_12_h_Input_DNA_TGAACT_L004_R1_002.fastq.gz Exp1_12h_H3K27me3_Input H3K27me3_12h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_Input_DNA/Exp1_12_h_Input_DNA_TGAACT_L001_R1_002.fastq.gz Exp1_12h_H3K27me3_Input H3K27me3_12h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_Input_DNA/Exp1_12_h_Input_DNA_TGAACT_L002_R1_001.fastq.gz Exp1_12h_H3K27me3_Input H3K27me3_12h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_Input_DNA/Exp1_12_h_Input_DNA_TGAACT_L003_R1_002.fastq.gz Exp1_12h_H3K27me3_Input H3K27me3_12h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_H3K4me3/Exp1_12_h_H3K4me3_GCCAAT_L002_R1_001.fastq.gz Exp1_12h_H3K4me3 H3K4me3_12h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_H3K4me3/Exp1_12_h_H3K4me3_GCCAAT_L001_R1_001.fastq.gz Exp1_12h_H3K4me3 H3K4me3_12h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_H3K4me3/Exp1_12_h_H3K4me3_GCCAAT_L004_R1_002.fastq.gz Exp1_12h_H3K4me3 H3K4me3_12h ChIP 1
